Fitur1 Fitur2 Fitur3 Fitur4 Fitur5 Fitur6 Fitur7 Label
Merah Samsung Teh Taekwondo Medan 3 B+ Nasi_Goreng
Merah Samsung Teh Pencak_Silat Jayapura 3 O+ Beef_Stroganoff
Hijau Samsung Kopi Pencak_Silat Jayapura 4 B- Risotto
Merah Samsung Teh Taekwondo Jayapura 2 O+ Nasi_Goreng
Merah Samsung Teh Tinju Medan 4 B+ Beef_Stroganoff
Merah Samsung Teh Pencak_Silat Medan 3 O+ Nasi_Goreng
Merah Samsung Teh Aikido Medan 3 B+ Beef_Stroganoff
Merah Samsung Teh Aikido Jayapura 4 B- Beef_Stroganoff
Merah Samsung Teh Taekwondo Medan 3 B+ Risotto
Merah Samsung Air Pencak_Silat Medan 2 B- Pad_Thai
Hijau Samsung Teh Pencak_Silat Jayapura 3 O+ Risotto
Merah Samsung Kopi Pencak_Silat Manado 4 AB+ Risotto
Hijau Samsung Teh Pencak_Silat Medan 3 B- Risotto
Hijau Samsung Kopi Aikido Medan 1 B+ Beef_Stroganoff
Hijau Samsung Kopi Aikido Manado 4 B- Beef_Stroganoff
Hijau Samsung Kopi Pencak_Silat Medan 2 B+ Beef_Stroganoff
Merah Samsung Teh Taekwondo Medan 4 A- Nasi_Goreng
Hijau Samsung Teh Pencak_Silat Jayapura 2 O+ Beef_Stroganoff
Merah Samsung Kopi Pencak_Silat Surabaya 2 B+ Nasi_Goreng
Hijau Samsung Coca_Cola Pencak_Silat Medan 3 B+ Risotto
Merah Nokia Kopi Taekwondo Surabaya 2 B- Nasi_Goreng
Merah Samsung Teh Tinju Medan 4 B+ Beef_Stroganoff
Hijau Samsung Kopi Pencak_Silat Jayapura 3 O+ Beef_Stroganoff
Merah Samsung Kopi Pencak_Silat Medan 2 B- Nasi_Goreng
Hijau Samsung Kopi Pencak_Silat Jayapura 4 B- Risotto
Merah Samsung Teh Pencak_Silat Medan 4 B+ Pad_Thai
Merah Samsung Kopi Pencak_Silat Medan 3 B- Beef_Stroganoff
Merah Samsung Coca_Cola Pencak_Silat Medan 2 B- Risotto
Hijau Samsung Teh Pencak_Silat Medan 1 O+ Pad_Thai
Merah Samsung Teh Aikido Medan 3 B- Beef_Stroganoff
Hijau Apple Air Taekwondo Pontianak 3 O+ Risotto
Hijau Apple Kopi Pencak_Silat Manado 4 B- Risotto
Merah Apple Coca_Cola Taekwondo Jayapura 2 O- Beef_Stroganoff
Hijau Samsung Teh Pencak_Silat Manado 4 O+ Beef_Stroganoff
Hijau Apple Kopi Pencak_Silat Manado 4 B- Risotto
Merah Samsung Teh Taekwondo Medan 1 O+ Nasi_Goreng
Hijau Samsung Kopi Pencak_Silat Manado 4 O+ Risotto
Merah Samsung Kopi Pencak_Silat Medan 2 B- Pad_Thai
Hijau Samsung Teh Pencak_Silat Jayapura 3 B- Beef_Stroganoff
Hijau Samsung Kopi Taekwondo Jayapura 2 O+ Nasi_Goreng
Merah Apple Teh Pencak_Silat Manado 3 O- Pad_Thai
Merah Samsung Coca_Cola Taekwondo Surabaya 1 B+ Pad_Thai
Hijau Apple Air Taekwondo Jayapura 2 B- Risotto
Merah Samsung Kopi Pencak_Silat Jayapura 3 O+ Beef_Stroganoff
Merah Samsung Teh Pencak_Silat Surabaya 3 B+ Risotto
Merah Samsung Teh Aikido Medan 3 O+ Nasi_Goreng
Hijau Samsung Kopi Aikido Surabaya 1 A- Beef_Stroganoff
Merah Apple Teh Taekwondo Jayapura 3 O+ Pad_Thai
Hijau Apple Teh Taekwondo Jayapura 5 B- Pad_Thai
Hijau Samsung Kopi Aikido Jayapura 3 O+ Pad_Thai
Merah Samsung Kopi Pencak_Silat Medan 2 B- Beef_Stroganoff
Merah Samsung Teh Pencak_Silat Medan 2 B- Nasi_Goreng
Merah Samsung Teh Taekwondo Jayapura 4 B- Nasi_Goreng
Merah Samsung Kopi Pencak_Silat Jayapura 4 O+ Risotto
Merah Nokia Teh Aikido Medan 2 O- Nasi_Goreng
Merah Samsung Air Pencak_Silat Surabaya 3 A- Nasi_Goreng
Merah Apple Kopi Pencak_Silat Medan 3 B- Beef_Stroganoff
Hijau Samsung Kopi Pencak_Silat Jayapura 3 B- Risotto
Merah Nokia Kopi Pencak_Silat Surabaya 2 B- Pad_Thai
Hijau Samsung Kopi Aikido Medan 2 B+ Beef_Stroganoff
Merah Samsung Kopi Pencak_Silat Surabaya 2 B- Nasi_Goreng
Hijau Samsung Kopi Pencak_Silat Manado 4 B- Risotto
Merah Apple Teh Pencak_Silat Jayapura 3 O+ Beef_Stroganoff
Merah Samsung Teh Pencak_Silat Jayapura 4 B- Pad_Thai
Hijau Samsung Teh Pencak_Silat Manado 3 B- Risotto
Merah Samsung Kopi Taekwondo Medan 2 B- Nasi_Goreng
Merah Samsung Teh Pencak_Silat Jayapura 3 O- Beef_Stroganoff
Hijau Samsung Kopi Taekwondo Medan 2 B- Nasi_Goreng
Hijau Apple Air Taekwondo Manado 2 B- Risotto
Merah Samsung Teh Taekwondo Jayapura 4 B- Nasi_Goreng
Merah Samsung Kopi Taekwondo Manado 4 O- Risotto
Hijau Samsung Teh Pencak_Silat Jayapura 3 B- Risotto
Hijau Samsung Kopi Aikido Manado 2 AB+ Pad_Thai
Merah Samsung Kopi Pencak_Silat Medan 2 B- Nasi_Goreng
Hijau Samsung Air Taekwondo Manado 4 O- Risotto
Merah Samsung Teh Taekwondo Surabaya 2 B+ Pad_Thai
Hijau Samsung Teh Aikido Manado 3 O- Pad_Thai
Hijau Samsung Kopi Pencak_Silat Medan 3 B+ Risotto
Hijau Nokia Teh Pencak_Silat Surabaya 1 B- Pad_Thai
Hijau Apple Kopi Taekwondo Jayapura 2 O+ Risotto
Hijau Samsung Teh Pencak_Silat Manado 3 O+ Risotto
Merah Samsung Kopi Pencak_Silat Medan 2 B- Nasi_Goreng
Merah Samsung Kopi Pencak_Silat Medan 2 B- Nasi_Goreng
Merah Samsung Kopi Taekwondo Surabaya 3 B+ Risotto
Merah Samsung Kopi Pencak_Silat Medan 2 B+ Beef_Stroganoff
Merah Samsung Kopi Pencak_Silat Medan 3 B- Pad_Thai
Hijau Samsung Coca_Cola Pencak_Silat Medan 3 B+ Pad_Thai
Hijau Samsung Kopi Pencak_Silat Jayapura 4 B- Risotto
Hijau Samsung Teh Aikido Jayapura 3 B- Pad_Thai
Hijau Samsung Kopi Pencak_Silat Jayapura 4 O+ Beef_Stroganoff
Merah Samsung Kopi Pencak_Silat Surabaya 2 B+ Pad_Thai
Merah Samsung Teh Aikido Jayapura 4 O+ Beef_Stroganoff
Merah Samsung Teh Taekwondo Jayapura 4 O+ Nasi_Goreng
Merah Samsung Kopi Pencak_Silat Surabaya 1 B- Nasi_Goreng
Merah Nokia Teh Pencak_Silat Medan 3 O+ Risotto
Merah Samsung Kopi Pencak_Silat Jayapura 3 O+ Pad_Thai
Merah Samsung Teh Pencak_Silat Medan 3 B- Nasi_Goreng
Merah Samsung Kopi Pencak_Silat Surabaya 2 B+ Nasi_Goreng
Hijau Apple Teh Pencak_Silat Manado 4 O+ Risotto
Merah Samsung Teh Pencak_Silat Medan 1 B- Pad_Thai
Merah Samsung Teh Pencak_Silat Medan 2 B- Pad_Thai
Merah Samsung Teh Pencak_Silat Medan 3 B- Nasi_Goreng
Merah Samsung Teh Pencak_Silat Jayapura 3 B- Beef_Stroganoff
Hijau Samsung Kopi Taekwondo Jayapura 3 B- Nasi_Goreng
Merah Apple Kopi Aikido Medan 3 B+ Beef_Stroganoff
Hijau Samsung Kopi Pencak_Silat Jayapura 5 B+ Risotto
Hijau Samsung Coca_Cola Pencak_Silat Medan 2 B+ Risotto
Merah Samsung Teh Taekwondo Surabaya 2 B+ Pad_Thai
Hijau Samsung Kopi Aikido Jayapura 4 B- Pad_Thai
Merah Samsung Teh Taekwondo Medan 4 B- Nasi_Goreng
Merah Apple Coca_Cola Pencak_Silat Medan 3 B- Pad_Thai
Merah Samsung Teh Aikido Jayapura 3 O+ Risotto
Merah Samsung Teh Pencak_Silat Manado 3 O- Beef_Stroganoff
Hijau Samsung Teh Taekwondo Medan 4 B+ Risotto
Hijau Samsung Kopi Pencak_Silat Jayapura 3 O+ Risotto
Merah Samsung Teh Pencak_Silat Medan 3 B+ Nasi_Goreng
Hijau Samsung Kopi Pencak_Silat Jayapura 3 O+ Pad_Thai
Merah Samsung Teh Pencak_Silat Surabaya 1 B+ Pad_Thai
Merah Samsung Kopi Pencak_Silat Surabaya 2 B+ Pad_Thai
Hijau Apple Teh Pencak_Silat Manado 3 O- Pad_Thai
Merah Samsung Teh Pencak_Silat Medan 3 A- Pad_Thai
Hijau Apple Teh Pencak_Silat Manado 4 B- Risotto
Hijau Samsung Kopi Pencak_Silat Jayapura 4 B+ Risotto
Merah Samsung Teh Pencak_Silat Medan 3 B- Risotto
Merah Samsung Teh Pencak_Silat Surabaya 3 B- Nasi_Goreng
Merah Samsung Kopi Pencak_Silat Surabaya 3 B+ Pad_Thai
Hijau Apple Kopi Pencak_Silat Jayapura 3 B- Risotto
Merah Samsung Kopi Pencak_Silat Surabaya 2 B+ Beef_Stroganoff
Merah Apple Kopi Aikido Medan 2 B+ Beef_Stroganoff
Merah Samsung Teh Pencak_Silat Jayapura 3 O+ Beef_Stroganoff
Merah Samsung Teh Pencak_Silat Jayapura 3 O+ Beef_Stroganoff
Merah Samsung Kopi Pencak_Silat Surabaya 3 B+ Pad_Thai
Merah Samsung Kopi Pencak_Silat Surabaya 3 B+ Pad_Thai
Hijau Samsung Kopi Taekwondo Jayapura 3 B- Risotto
Merah Apple Teh Aikido Jayapura 3 O+ Beef_Stroganoff
Hijau Apple Air Taekwondo Manado 3 O+ Risotto
Merah Apple Kopi Pencak_Silat Medan 3 B+ Beef_Stroganoff
